ID	Domain	Phylum	Class	Order	Family	Genus	Species
Otu0538	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oris
Otu0539	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAG-196	CAG-196 sp002102975
Otu0540	Bacteria	Bacillota_A	Clostridia	Christensenellales	QALW01	UMGS1338	UMGS1338 sp900550805
Otu0541	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii
Otu0542	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp959599425
Otu0543	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	Aphodocola	Aphodocola sp900547225
Otu0544	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000436595
Otu0545	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA1820	Merdimorpha	Merdimorpha sp003150615
Otu0546	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Sarcina	Sarcina ventriculi
Otu0547	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas coprocola
Otu0548	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola coprocola
Otu0549	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster porci
Otu0550	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia sp000434635
Otu0551	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter ruminantium
Otu0552	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella tayi
Otu0553	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter
Otu0554	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Pseudobutyricicoccus	Pseudobutyricicoccus
Otu0555	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Caproicibacter	Caproicibacter
Otu0556	Bacteria	Bacillota_A	Clostridia	Christensenellales	Christensenellaceae	QANA01	QANA01 sp910588425
Otu0557	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter
Otu0558	Bacteria	Bacillota_B	Peptococcia	Peptococcales	Peptococcaceae	UBA7185	UBA7185 sp910585405
Otu0559	Bacteria	Pseudomonadota	Alphaproteobacteria	RF32	CAG-239	51-20	51-20 sp910577095
Otu0560	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Coprobacteraceae	Coprobacter	Coprobacter secundus
Otu0561	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas butyriciproducens
Otu0562	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp959599425
Otu0563	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_D
Otu0564	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthellaceae	Eggerthellaceae
Otu0565	Bacteria	Bacillota_A	Clostridia	UBA1381	UBA1381	Hominilimicola	Hominilimicola fabiformis
Otu0566	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Yeguia	Yeguia hominis
Otu0567	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A indistinctus
Otu0568	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	Merdibacter merdipullorum
Otu0569	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	Paraprevotella clara
Otu0570	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Pygmaiobacter	Pygmaiobacter hominis
Otu0571	Bacteria	Bacillota_A	Clostridia	HGM11327	HGM11327	SIG354	SIG354 sp015056385
Otu0572	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	Intestinimonas timonensis
Otu0573	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CALVVX01	CALVVX01 sp944358805
Otu0574	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp900549635
Otu0575	Bacteria	Bacillota_B	Peptococcia	Peptococcales	Peptococcaceae	UBA7185	UBA7185 sp910585405
Otu0576	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter rectalis
Otu0577	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae
Otu0578	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Fumia	Fumia xinanensis
Otu0579	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus rubiinfantis
Otu0580	Bacteria	Bacillota_A	Clostridia	Christensenellales	Maliibacteriaceae	Maliibacterium	Maliibacterium massiliense
Otu0581	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae
Otu0582	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-508	CAG-508
Otu0583	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Limivicinus	Limivicinus sp002320035
Otu0584	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter rectalis
Otu0585	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans
Otu0586	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium animalis
Otu0587	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella stercorea
Otu0588	Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	CAG-724	CAG-724 sp905202255
Otu0589	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides faecalis
Otu0590	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae
Otu0591	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae	Acutalibacteraceae
Otu0592	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospirales	Oscillospirales	Oscillospirales
Otu0593	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger qucibialis
Otu0594	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae
Otu0595	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000434975
Otu0596	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Anaeromassilibacillus	Anaeromassilibacillus stercoravium
Otu0597	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
Otu0598	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae	Oscillospiraceae
Otu0599	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Centipeda	Centipeda infelix
Otu0600	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Fumia	Fumia xinanensis
Otu0601	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	Merdibacter merdigallinarum
Otu0602	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides bouchesdurhonensis
Otu0603	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	V1-33	V1-33	V1-33
Otu0604	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae
Otu0605	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA11452	UBA11452 sp003526375
Otu0606	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallis lenta
Otu0607	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoscilispira	Pseudoscilispira
Otu0608	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	Merdousia	Merdousia sp021641325
Otu0609	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Pasteurellaceae	Pasteurellaceae
Otu0610	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp000177015
Otu0611	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAG-417	CAG-417 sp000432835
Otu0612	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes dispar
Otu0613	Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	UMGS1865	UMGS1865 sp944391805
Otu0614	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
Otu0615	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignaceae	Anaerotignaceae
Otu0616	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Dielma	Dielma fastidiosa
Otu0617	Bacteria	Bacillota_A	Clostridia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas parva
Otu0618	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae	Acutalibacteraceae
Otu0619	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Massilioclostridium	Massilioclostridium facile
Otu0620	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	UBA3402 sp003478355
Otu0621	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAG-582	CAG-582 sp900760845
Otu0622	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter
Otu0623	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	Paraprevotella clara
Otu0624	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Youxingia	Youxingia wuxianensis
Otu0625	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
Otu0626	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A
Otu0627	Bacteria	Bacillota_A	Clostridia	Christensenellales	Borkfalkiaceae	UBA10281	UBA10281 sp900767815
Otu0628	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	Pullibacteroides	Pullibacteroides sp014803485
Otu0629	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter ruminantium
Otu0630	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris
Otu0631	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	QAMH01	QAMH01	QAMH01 sp900544245
Otu0632	Bacteria	Bacillota_A	Clostridia	Christensenellales	Borkfalkiaceae	UBA10281	UBA10281 sp000437515
Otu0633	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeellaceae	Aristaeellaceae
Otu0634	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella
Otu0635	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAJOJO01	CAJOJO01 sp900546745
Otu0636	Bacteria	Bacillota_A	Clostridia	Christensenellales	Christensenellaceae	Guopingia	Guopingia tenuis
Otu0637	Bacteria	Bacillota_B	Peptococcia	Peptococcales	Peptococcaceae	UBA7185	UBA7185 sp910585405
Otu0638	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus
Otu0639	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallis vadensis
Otu0640	Bacteria	Bacillota_A	Clostridia	Christensenellales	QALW01	UMGS1322	UMGS1322 sp905200615
Otu0641	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Fimivivens	Fimivivens sp900113995
Otu0642	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Hominenteromicrobium	Hominenteromicrobium mulieris
Otu0643	Bacteria	Bacillota_A	Clostridia	Clostridia	Clostridia	Clostridia	Clostridia
Otu0644	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae
Otu0645	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
Otu0646	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Sporobacter	Sporobacter
Otu0647	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	UBA11524	UBA11524 sp900769075
Otu0648	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Harryflintia	Harryflintia acetispora
Otu0649	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae	Oscillospiraceae
Otu0650	Bacteria	Bacillota_A	Clostridia	UBA1381	UBA1381	Hominilimicola	Hominilimicola
Otu0651	Bacteria	Bacillota_A	Clostridia	UBA1381	UMGS1253	JAKJBW01	JAKJBW01 sp022706785
Otu0652	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Faecousia	Faecousia sp000434635
Otu0653	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	Emergencia timonensis
Otu0654	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiales	Burkholderiales	Burkholderiales
Otu0655	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Limivicinus	Limivicinus sp002320035
Otu0656	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	Prosthecobacter sp903848465
Otu0657	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A
Otu0658	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A caecimuris
Otu0659	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospirales	Oscillospirales	Oscillospirales
Otu0660	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_A	Fusobacterium_A mortiferum
Otu0661	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena caecimuris
Otu0662	Bacteria	Bacillota_I	Bacilli_A	ML615J-28	CAG-313	CAG-313	CAG-313 sp900539265
Otu0663	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-917	CAG-475	CAG-475 sp900550915
Otu0664	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	UBA11524	UBA11524 sp000437595
Otu0665	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobus micronuciformis
Otu0666	Bacteria	Bacillota_I	Bacilli_A	ML615J-28	CAG-313	CAG-313	CAG-313 sp003539625
Otu0667	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthellaceae	Eggerthellaceae
Otu0668	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella bivia
Otu0669	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	Merdousia	Merdousia sp002437405
Otu0670	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides
Otu0671	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeellaceae	Aristaeellaceae
Otu0672	Bacteria	Bacillota_A	Clostridia	Christensenellales	Borkfalkiaceae	Scatosoma	Scatosoma sp900542935
Otu0673	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
Otu0674	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAG-762	CAG-762 sp900551315
Otu0675	Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	RUG13077	RUG13077 sp902785485
Otu0676	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_E
Otu0677	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Pararoseburia	Pararoseburia lenta
Otu0678	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus
Otu0679	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CALVVX01	CALVVX01
Otu0680	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Anaerotardibacter	Anaerotardibacter sp959607715
Otu0681	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	RUG705	RUG705 sp905188025
Otu0682	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
Otu0683	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp900541955
Otu0684	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Avimonas	Avimonas sp012839705
Otu0685	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-273	CAG-273 sp000435755
Otu0686	Bacteria	Bacillota_B	Bacillota_B	Bacillota_B	Bacillota_B	Bacillota_B	Bacillota_B
Otu0687	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-314	Fimimonas	Fimimonas sp003537755
Otu0688	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Limenecus	Limenecus avicola
Otu0689	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae
Otu0690	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA7177	UBA7177 sp910579545
Otu0691	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeellaceae	Aristaeellaceae
Otu0692	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
Otu0693	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	Kineothrix alysoides
Otu0694	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Gordonibacter	Gordonibacter urolithinfaciens
Otu0695	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Cloacibacillus evryensis
Otu0696	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeella	Aristaeella sp017569285
Otu0697	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae	Oscillospiraceae
Otu0698	Bacteria	Bacillota_A	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium callanderi
Otu0699	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus
Otu0700	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillospiraceae	Oscillospiraceae
Otu0701	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Lentihominibacter	Lentihominibacter butyrica
Otu0702	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halioglobus	Halioglobus sp016704305
Otu0703	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Limisoma	Limisoma sp000437795
Otu0704	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	Acutalibacter muris
Otu0705	Bacteria	Bacillota_A	Clostridia	Christensenellales	Pumilibacteraceae	Neoclostridium	Neoclostridium sp900555125
Otu0706	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Fumia	Fumia xinanensis
Otu0707	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Hydrogeniiclostridium	Hydrogeniiclostridium mannosilyticum
Otu0708	Bacteria	Bacillota_B	Dehalobacteriia	UBA4068	UBA4997	Avidehalobacter	Avidehalobacter sp022797295
Otu0709	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella sp003458855
Otu0710	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp947367845
Otu0711	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA1829	UBA1829 sp905197955
Otu0712	Bacteria	Bacillota_A	Clostridia	Monoglobales	Monoglobaceae	Monoglobaceae	Monoglobaceae
Otu0713	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae
Otu0714	Bacteria	Bacteroidota	Bacteroidia	B-17B0	B-17BO	UBA4416	UBA4416 sp002420145
Otu0715	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides
Otu0716	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira eligens_A
Otu0717	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Pseudobutyricicoccus	Pseudobutyricicoccus sp003477405
Otu0718	Bacteria	Bacillota_A	Clostridia	Christensenellales	UMGS416	CALWDW01	CALWDW01 sp944376795
Otu0719	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae	Ruminococcaceae
Otu0720	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-314	Fimimonas	Fimimonas sp910586625
Otu0721	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	UMGS872	UMGS872 sp900546275
Otu0722	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Tractidigestivibacter	Tractidigestivibacter
Otu0723	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	Scybalousia	Scybalousia sp934167875
Otu0724	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Zongyangia	Zongyangia hominis
Otu0725	Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	CAG-272	CAG-272
Otu0726	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	CAG-302	CAG-302
Otu0727	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Massiliimalia	Massiliimalia massiliensis
Otu0728	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	SXXK01	SXXK01 sp945861975
Otu0729	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Gabonibacter	Gabonibacter massiliensis
Otu0730	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei
Otu0731	Bacteria	Bacillota_A	Clostridia	Clostridia	Clostridia	Clostridia	Clostridia
Otu0732	Bacteria	Bacillota_A	Clostridia	Christensenellales	Christensenellaceae	Christensenella	Christensenella massiliensis
Otu0733	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii
Otu0734	Bacteria	Bacillota_A	Clostridia	Clostridia	Clostridia	Clostridia	Clostridia
Otu0735	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	JAFBIO01	JAFBIO01 sp021531255
Otu0736	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UMGS1477	UMGS1477 sp900552205
Otu0737	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcaceae	Enterococcaceae
Otu0738	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus massiliensis
Otu0739	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halotolerans
Otu0740	Bacteria	Bacillota_A	Clostridia	Christensenellales	Christensenellaceae	Guopingia	Guopingia tenuis
Otu0741	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae
Otu0742	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	BNUH01	BNUH01
Otu0743	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecalis
Otu0744	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeella	Aristaeella
Otu0745	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella dubosii
Otu0746	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Pygmaiobacter	Pygmaiobacter
Otu0747	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger formicilis_A
Otu0748	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter_A	Lawsonibacter_A hominis
Otu0749	Bacteria	Bacillota	Bacilli	Lactobacillales	Vagococcaceae	Vagococcus	Vagococcus
Otu0750	Bacteria	Bacillota_I	Bacilli_A	RFN20	CAG-449	CAG-449	CAG-449
Otu0751	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Laedolimicola	Laedolimicola
Otu0752	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	Merdousia	Merdousia sp900546565
Otu0753	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae	Ruminococcaceae
Otu0754	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae	Ruminococcaceae
Otu0755	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum gordoncarteri
Otu0756	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-452	CAG-452 sp000434035
Otu0757	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp018228705
Otu0758	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor intestinalis
Otu0759	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus_A	Lactococcus_A raffinolactis
Otu0760	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides pullorum
Otu0761	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	Otoolea symbiosa_A
